motusTagID,spp,age,tagDeployID,start_recvSiteName,start_recvDeployID,start_recvDeployLat,start_recvDeployLon,start_time,end_recvSiteName,end_recvDeployID,end_recvDeployLat,end_recvDeployLon,end_time,traj_len,traj_net_disp,traj_dur_h,traj_straightness,groundspeed_net,groundspeed_traj,brng_init,uwind,vwind,tailwind,keep
23591,Red Knot,ASY,11017,Wolfe,2812,44.1414,-76.3884,2017-05-28T06:17:35Z,Piskwamish,4050,51.658,-80.5679,2017-05-28T18:37:47Z,923030.4792,891889.9732,12.33683297,0.966262754,20.08191368,20.78307746,341.0314085,0.8999939,2.300003,1.88256289,FALSE
23591,Red Knot,ASY,11017,Lemoine Point C.A.,4044,44.2176,-76.6069,2017-05-28T06:29:46Z,Piskwamish,4050,51.658,-80.5679,2017-05-28T18:37:47Z,903588.9365,878296.5888,12.13365267,0.972009011,20.10699345,20.68601547,341.7705408,0.8999939,2.300003,1.903029847,FALSE
23591,Red Knot,ASY,11017,Napanee LOSH,3348,44.3489,-76.8908,2017-05-28T06:43:59Z,Piskwamish,4050,51.658,-80.5679,2017-05-28T18:37:47Z,876649.9363,857481.7551,11.89671372,0.978134737,20.02144306,20.4690032,342.6961812,0.8999939,2.300003,1.928214268,FALSE
23591,Red Knot,ASY,11017,Hilliardton,3279,47.7408,-79.6989,2017-05-28T13:25:44Z,Piskwamish,4050,51.658,-80.5679,2017-05-28T18:37:47Z,441506.7821,440162.0148,5.200806889,0.996954141,23.50928018,23.5811049,352.1417238,0,2.800003,2.773708984,TRUE
23592,Red Knot,ASY,11018,"Cedar Island NWR, NC",2625,34.9566,-76.2786,2017-05-10T03:52:28Z,Reed,3967,39.1268,-74.8913,2017-05-10T12:01:48Z,512141.9778,478959.3521,8.155566611,0.935208151,16.31330732,17.44350421,14.51754243,2.5,1.300003,1.885186153,TRUE
23592,Red Knot,ASY,11018,"Pea Island NWR, NC",3048,35.7167,-75.4938,2017-05-10T05:55:44Z,Reed,3967,39.1268,-74.8913,2017-05-10T12:01:48Z,401679.8899,382208.3619,6.101141861,0.951524763,17.40149497,18.28801063,7.839008643,3,0.59999084,1.003554266,FALSE
23592,Red Knot,ASY,11018,SKID,3476,37.134,-75.9258,2017-05-10T08:01:06Z,Reed,3967,39.1268,-74.8913,2017-05-10T12:01:48Z,239699.031,239068.8888,4.011534444,0.997371111,16.55427009,16.59790414,21.97796317,-1.699997,-0.30000305,-0.914424991,FALSE
23592,Red Knot,ASY,11018,PARR,3475,37.57369,-75.61736,2017-05-10T08:58:35Z,Reed,3967,39.1268,-74.8913,2017-05-10T12:01:48Z,183769.7806,183710.2766,3.053528361,0.999676204,16.71202175,16.71743479,19.98614673,-1.699997,-0.30000305,-0.862982408,FALSE
23592,Red Knot,ASY,11018,JBNY,4232,40.6163,-73.824,2017-05-23T21:36:12Z,Napanee LOSH,3348,44.3489,-76.8908,2017-05-24T04:38:31Z,521515.3069,485194.0816,7.038698361,0.930354441,19.14787747,20.58127165,329.7197469,-3.5,-0.30000305,1.505731642,TRUE
23592,Red Knot,ASY,11018,SHNJ,3472,40.4296,-73.9848,2017-05-23T22:34:02Z,Napanee LOSH,3348,44.3489,-76.8908,2017-05-24T04:38:31Z,496703.5186,496703.5186,6.074803972,1,22.71237068,22.71237068,332.1754754,-3.5,-0.30000305,1.368361226,FALSE
